Article,Date,Link
Regulators a threat to universities’ autonomy,1 month ago,https://www.standardmedia.co.ke//2001236373/regulators-a-threat-to-universities-autonomy#disqus_thread
"Exam cheating, integrity take over drama fete",1 month ago,https://www.standardmedia.co.ke//2001236367/exam-cheating-integrity-take-over-drama-fete#disqus_thread
"Chilling details of sodomy, torture at Maseno School",1 month ago,https://www.standardmedia.co.ke//2001236352/chilling-details-of-sodomy-torture-at-maseno-school#disqus_thread
Colleges move to take charge of their safety,1 month ago,https://www.standardmedia.co.ke//2001236259/colleges-move-to-take-charge-of-their-safety#disqus_thread
The painful reality about drug abuse in Kenyan universities,1 month ago,https://www.standardmedia.co.ke//2001236196/the-painful-reality-about-drug-abuse-in-kenyan-universities#disqus_thread
Matiang'i appoints CUE Commissioners,1 month ago,https://www.standardmedia.co.ke//2001236230/matiang-i-appoints-cue-commissioners#disqus_thread
"Foreign degrees must match local standards, Matiang'i warns",1 month ago,https://www.standardmedia.co.ke//2001235858/foreign-degrees-must-match-local-standards-matiang-i-warns#disqus_thread
JKUAT and KU campuses in Kigali face closure,1 month ago,https://www.standardmedia.co.ke//2001235860/jkuat-and-ku-campuses-in-kigali-face-closure#disqus_thread
Maseno School board quits ,1 month ago,https://www.standardmedia.co.ke//2001235930/maseno-school-board-quits#disqus_thread
Agriculture gradudates told to create their own jobs,1 month ago,https://www.standardmedia.co.ke//2001235727/agriculture-gradudates-told-to-create-their-own-jobs#disqus_thread
